name	id	primary_date	secondary_dates	death	info_pieces	spelling_variants	attributes
Alexandri Veronen	233	4/Juni	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	episcopi,episcoporum	
Alexandri Fesulani	234	6/Juni	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	martiris,martirum$episcopi,episcoporum	
Alexandri Avellinen	235	21/September	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	martiris,martirum$episcopi,episcoporum	
Alexandri (5)	236	1/October	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	martiris,martirum	
Alexandri Saullii Papien	237	11/October	14/Februar	1592; can. 1741	[Pavia] A. S.	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	episcopi,episcoporum	
Alexandri (6)	238	27/October	14/Februar	NA	NA	Constantis et Alexandri$Prisci, Malchi et Alexandri$Sisinnii, Martyrii et Alexandri	monachi	
Alexii (Alexis) (laici)	239	17/Juli	NA	NA	NA	NA	confessoris	
Alexis Falconieri ord. servorum Marie	240	17/Februar	NA	NA	NA	NA	confessoris$beati,beate	
Alfrici Cantuarien	241	28/August	16/November	1005	[Canterbury] Mab. (G.: +  November 16 ) .	NA	archiepiscopi	
Alfwoldi Sherburnen	242	25/März	NA	ca. 1058	[Salisbury] A. S. |60|	NA	episcopi,episcoporum	
Allemanni	243	4/April	NA	NA	NA	NA	episcopi,episcoporum	
Alloci	244	23/December	NA	NA	NA	NA	martiris,martirum	
Allucii	245	23/October	NA	1134	[Pescia, Toscana] A. S.	NA	confessoris	
Almachii (Telemachi)	246	1/Januar	14/Februar	NA	NA	Telemachi	martiris,martirum	
Almari (Agomari) Silvanecten	247	7/November	14/Februar	NA	NA	Agomari	episcopi,episcoporum	
Almedha	248	1/August	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
