name	id	primary_date	secondary_dates	death	info_pieces	spelling_variants	attributes
Alphii, Philadelphi et Cyrini	259	10/Mai	NA	NA	NA	NA	martiris,martirum	
Alphonsi Marie Liguori	260	2/August	NA	1787	[Redemptoristen] D.	NA	episcopi,episcoporum$confessoris	
Alphonsi Roderici (Rodriguez)	261	30/October	NA	1617	[Jesuiten] A.S.	NA	confessoris$beati,beate	
Alpini Lugdunen	262	15/September	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Alpini Catalaunen	263	7/September	NA	NA	NA	NA	episcopi,episcoporum	
Alpiniani Aquitani	264	27/April	NA	NA	NA	NA	presbyteri	
Altfridi Hildesemen	265	15/August	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis$episcopi,episcoporum	
Altigiani et Hilarini	266	23/August	14/Februar	NA	NA	Hilarini	monachi	
Altini Vercellen	267	16/März	NA	NA	NA	NA	episcopi,episcoporum	
Altmanni Patavien	268	8/August	NA	1091	[Passau] A. S.	NA	episcopi,episcoporum	
Altonis	269	9/Februar	NA	NA	NA	NA	confessoris	
Alvari Cordubensis ord. predic	270	19/Februar	NA	NA	NA	NA	confessoris$beati,beate	
Alvarii corporis inventio (1427)	271	2/Januar	NA	NA	NA	NA	NA	
Alvei (Alnei)	272	11/September	14/Februar	NA	NA	Alnei	presbyteri	
Alvere (Alvenere)	273	9/März	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Amabilis Ricomagen	274	1/November	NA	NA	NA	NA	presbyteri	
Amadei Lausannen. ord. Cisterc	275	27/August	28/Januar	1159,	Januar 28 :  [Lausanne] D.	NA	episcopi,episcoporum	
Amadei ducis Sabaudie	276	30/März	NA	1472	[Vercelli] A. S.	NA	beati,beate	
Amadei ord. S. Franc	277	10/August	NA	1482	[Mailand] A. S.	NA	confessoris$beati,beate	
Amalberge	278	10/Juli	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis$vidue	
Amalberge (2)	279	22/October	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Amandi Argentoraten. (Trajecten., Wormatien.)  (translatio)	280	26/October	14/Februar	NA	NA	Vedasti	martiris,martirum$episcopi,episcoporum$confessoris	
Amandi et Vedasti	281	26/October	14/Februar	NA	NA	Vedasti	episcopi,episcoporum$confessoris	
Amandi	282	17/Januar	14/Februar	NA	NA	Vedasti	confessoris	
Amandi (2)	283	16/Mai	14/Februar	NA	NA	Vedasti	confessoris	
Amandi (3)	284	20/September	14/Februar	NA	NA	Vedasti	episcopi,episcoporum$confessoris	
Amandi (4)	285	1/October	14/Februar	NA	NA	Vedasti	episcopi,episcoporum	
(Germani et A.). Amandi	286	28/November	NA	NA	NA	NA	confessoris	
Amandi comitis, Lucii (Leontii et Luciani)	287	6/April	14/Februar	NA	NA	Vedasti	sociorum,sociis	
Amandi Surrentini	288	13/April	14/Februar	NA	NA	Vedasti	episcopi,episcoporum	
Amandi, Lucii (Alexandri, Audaldi)	289	6/Juni	14/Februar	NA	NA	Vedasti	martiris,martirum$sociorum,sociis	
Amandi Burdegalen	290	18/Juni	14/Februar	NA	NA	Vedasti	episcopi,episcoporum$confessoris	
Amandi (Chamanantii)	291	25/Juni	14/Februar	NA	NA	Vedasti	monachi$confessoris	
Amandi Redonen	292	13/November	14/Februar	NA	NA	Vedasti	episcopi,episcoporum	
Amandi Lerinen	293	18/November	14/Februar	NA	NA	Vedasti et Amandi$Vedasti	abbatis	
Amandini	294	7/November	14/Februar	NA	NA	Vedasti	confessoris	
Amantii Remen	295	10/Februar	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Amantii	296	10/Juni	NA	NA	NA	NA	episcopi,episcoporum	
Amantii Rutenen	297	4/November	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Amantii Tricastini	298	6/Februar	NA	NA	NA	NA	episcopi,episcoporum	
Amantii (2)	299	7/Februar	NA	NA	NA	NA	martiris,martirum	
Amantii Comen	300	8/April	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Amantii, Maurilii et Almerii	301	16/Mai	NA	NA	NA	NA	martiris,martirum	
Amantii (3)	302	26/September	NA	NA	NA	NA	presbyteri	
Amaranthi (Amarandi)	303	7/November	NA	NA	NA	NA	martiris,martirum	
Amarini	304	25/Januar	NA	NA	NA	NA	martiris,martirum	
Amasii Teanen	305	23/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Amasii Spoletani	306	23/Juli	NA	NA	NA	NA	episcopi,episcoporum	
Amati Romarici montis	307	13/September	NA	NA	NA	NA	abbatis$confessoris	
Amati Sedunen	308	19/October	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Amati Saludeciensis	309	8/Mai	NA	1200	[Rimini] A. S.	NA	confessoris$beati,beate	
Amatii Nuscani	310	31/August	NA	1193	[Nusco, Patron] A. S.	NA	episcopi,episcoporum	
Amatoris Autissiodoren	311	1/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Amatoris Eduen	312	26/November	NA	NA	NA	NA	episcopi,episcoporum	
Amatoris	313	30/April	NA	NA	NA	NA	presbyteri$sociorum,sociis$martiris,martirum	
Amatoris (2)	314	20/August	NA	NA	NA	NA	confessoris$eremite	
Amberti Moissacen	315	30/September	NA	NA	NA	NA	abbatis	
Ambrosii (Mediolanen.) (doctoris) (depositio)	316	4/April	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Ambrosii Cadurcen	317	16/October	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Ambrosii Sansedonii ord. predic	318	20/März	NA	1287	[Siena) A. S.	NA	confessoris$beati,beate	
Ambrosii Autperti	319	19/Juli	NA	NA	NA	NA	abbatis	
Ambrosii centurionis	320	16/August	NA	NA	NA	NA	martiris,martirum	
Ambrosii Santonen	321	28/August	NA	NA	NA	NA	episcopi,episcoporum	
Ambrosii Senonen	322	3/September	NA	NA	NA	NA	episcopi,episcoporum	
Ambrosii Agaunen	323	2/November	NA	NA	NA	NA	abbatis	
Ambrosii (saec. XV.)	324	20/November	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis$confessoris	
Ambrosiniani	325	1/September	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Ame	326	24/September	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Ameltrudis	327	30/August	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Amici	328	14/Juli	NA	NA	NA	NA	confessoris	
Amici et Amelii	329	12/October	14/Februar	NA	NA	Amelii	martiris,martirum	
Amici sollt. Avellanen	330	2/November	NA	NA	NA	NA	NA	
Ammonii Dertonen	331	19/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Amnnichadi ord. Ben	332	30/Januar	NA	1043	[Fulda] A. S.	NA	monachi$sancti,sancte$beati,beate	
Amoris	333	8/October	NA	NA	NA	NA	diaconi$confessoris	
Amoris et Viatoris	334	9/August	14/Februar	NA	NA	Viatoris	martiris,martirum	
Amoris Amorbacen	335	17/August	NA	NA	NA	NA	abbatis$confessoris	
Ampelii Mediolanen	336	8/Juli	NA	NA	NA	NA	episcopi,episcoporum	
Ampelii	337	4/October	NA	NA	NA	NA	eremite	
Amulwini Lobbien	338	7/Februar	NA	NA	NA	NA	abbatis	
Anacleti	339	13/Juli	NA	NA	NA	NA	pape$martiris,martirum	
Anani et Marii	340	16/Januar	NA	NA	NA	NA	martiris,martirum	
Ananie, Azarie et Misahel (Ismael), trium puerorum	341	16/December	14/Februar	NA	NA	Trium puerorum	martiris,martirum	
Anastasie  (Romana)	342	25/December	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis$vidue	
Anastasie Treveren	343	9/December	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Anastasie et Cyrilli	344	28/October	14/Februar	NA	NA	Cyrilli	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Anastasii	345	22/Januar	NA	NA	NA	NA	martiris,martirum	
Anastasii (I.)	346	27/April	NA	NA	NA	NA	pape$episcopi,episcoporum$confessoris	
Anastasii (2)	347	26/August	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Anastasii (3)	348	13/October	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum	
Anastasii (4)	349	19/December	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Anastasii Senonen	350	7/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Anastasii Suppentonie	351	11/Januar	NA	NA	NA	NA	abbatis$sociorum,sociis	
Anastasii, Sergii	352	23/Januar	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Anastasii (5)	353	11/Mai	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Anastasii Brixiensis	354	20/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Anastasii Papien	355	30/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Anastasii (Felicis et Digne)	356	14/Juni	NA	NA	NA	NA	presbyteri$sociorum,sociis$martiris,martirum	
Anastasii Interamnen	357	17/August	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Anastasii (6)	358	21/August	NA	NA	NA	NA	martiris,martirum	
Anastasii (Trojani)	359	12/September	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Anastasii (7)	360	11/October	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Anastasii ord. S. Ben	361	16/October	NA	1086	[Rieux] A. S.	NA	eremite	
Anastasii (Astrici) Strigonien. (ord. S. Ben.)	362	12/November	NA	1007	[Gran] Mab.	NA	episcopi,episcoporum	
Anatalonis Mediol	363	25/September	NA	NA	NA	NA	archiepiscopi	
Anatolii Salinis (ca. 1029)	364	3/Februar	NA	NA	NA	NA	episcopi,episcoporum	
Anatolii Brixien	365	24/September	NA	NA	NA	NA	episcopi,episcoporum	
Anatolii (non ) Cadurci, translatio ad. S. Michaelem	366	21/October	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Andeoli	367	1/Mai	NA	NA	NA	NA	martiris,martirum	
Andochii, Tyrsi et Felicis	368	24/September	14/Februar	NA	NA	Tyrsi	martiris,martirum	
Andree	369	30/November	NA	NA	NA	NA	apostoli	
Andree (Zoerardi) et Benedicti (Polonorum)	370	16/Juli	17/Juli	ca. 1020	Gnesen- * Agram.$Juli 17 :  *Fünfkirchen, *Gran. - Pauliner.	NA	martiris,martirum$eremite	
Andree Treviren	371	13/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Andree Corsini Fesulani	372	30/Januar	30/Januar$6/Januar$4/Februar$8/Januar$26/October	1373, can. 1629	(Carmeliter) A. S. (D.:  Januar 6 ; G.:  Januar 8 ) . ||Translatio  October 26 :  [Carmeliter] D.$Im Cal. Rom. statt  Januar 30  heute  Februar 4 .	NA	episcopi,episcoporum$confessoris	
Andree Casalis Benedicti	373	1/Februar	NA	1112	[Bourges, Chezal-Benoit] M.	NA	abbatis	
Andree (2)	374	1/Februar	NA	NA	NA	NA	confessoris$beati,beate	
Andree Elnonen	375	6/Februar	NA	NA	NA	NA	abbatis$beati,beate	
Andree Florentini	376	26/Februar	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Andree (Liguriani) ord. Vallumbros	377	10/März	NA	1097	[Parma] A. S.	NA	abbatis$beati,beate	
Andree de Galleranis	378	19/März	NA	1251	[Siena] A. S.	NA	beati,beate	
Andree Montis Regalis ord. August	379	18/April	11/April	1479	[Rieti] A. S. (D.:  Apr. 11 ) ,	NA	monachi$sancti,sancte$eremite$beati,beate	
Andree Pischeriensis ord. predic	380	19/Mai	19/Januar	1480	[Como, Morbegno] A. S. (D.:  Januar 19 ) .	NA	confessoris$beati,beate	
Andree Mutinensis ord. minor	381	22/Mai	NA	1455	[Modena] A. S.	NA	beati,beate	
Andree Hispellatis (Caccioli) ord. min	382	3/Juni	NA	1264	[Spoleto] A. S., Treviso.	NA	presbyteri$confessoris$beati,beate	
Andree Gulafri	383	24/Juni	NA	1703	[Lisieux, Bernay] D.	NA	presbyteri$virginis,virginum_or_(vor_Namen)_venerabilis	
Andree pueri a Judeis occisi	384	12/Juli	NA	1462	[Brixen, Innsbruck) A. S.	NA	beati,beate	
Andree Scoti	385	22/August	NA	NA	NA	NA	confessoris	
Andree Dotti ord. servorum Marie	386	31/August	NA	NA	NA	NA	confessoris$beati,beate	
Andree Avellini	387	10/November	NA	1608	[Theatiner, Patron von Sicilien] D.	NA	confessoris$beati,beate	
Andree (de Baudiment) Carolilocen	388	10/December	NA	1142	[Senlis, Chalis) D.	NA	abbatis	
Angadrisme	389	14/October	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Angelberti et Felicis	390	18/October	NA	NA	NA	NA	martiris,martirum	
Angelberti Centulen	391	18/Februar	NA	NA	NA	NA	abbatis	
Angele Bohemice	392	6/Juli	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Angele Fulginatis (de Marsiano) tertii ord. Franc	393	4/Januar	NA	1309	[Foligno] A. S.	NA	sancti,sancte$vidue$beati,beate	
Angele Merici Brixie	394	31/Mai	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Angelelmi Autissiodoren	395	7/Juli	NA	NA	NA	NA	episcopi,episcoporum$beati,beate	
Angeli ord. Carm	396	5/Mai	NA	1220	*Carmeliter.	NA	martiris,martirum	
Angeli a Furcio ord. August	397	6/Februar	NA	1327	[Neapel] A. S.	NA	sancti,sancte$eremite$beati,beate	
Angeli de Clavasio ord. Franc	398	12/April	NA	NA	NA	NA	sancti,sancte$confessoris$beati,beate	
Angeli prd. Camaldulen	399	8/Mai	5/Juli$14/Februar$19/August	1458	[Jesi, Massacio]A. S. ||Andere Angeli ord. Camaldul. (oder denselben mit anderen Tagen) führt D. auf zum  Februar 14  [Gualdo],  Juli 5  [Jesi, Serra],  August 19  [Camerino, s. Salvatore].	NA	martiris,martirum$beati,beate	
Angeli Cingulensis ord. Franc. (Clarenorum)	400	15/Juni	NA	1337	[S. Maria d'Aspra, Basilicata) A. S.	NA	sancti,sancte$confessoris$eremite$beati,beate	
Angeline ord. Clare	401	29/Juni	NA	1450	[spoleto] A. S.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte$beati,beate	
Angelorum custodum (Angeli custodis)	402	2/October	14/Februar	NA	NA	Angeli custodis	NA	
Angelorum omnium	403	29/September	NA	NA	NA	NA	NA	
Angelramni prepos. Gorzien	404	9/September	NA	NA	NA	NA	NA	
Angelramni Centulen	405	9/December	NA	1045	[Amiens] A. S.	NA	abbatis	
Anglini Stabulen	406	28/October	NA	NA	NA	NA	abbatis	
Aniani Aurelianen	407	17/November	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Aniani Carnoten	408	10/Juni	NA	NA	NA	NA	episcopi,episcoporum	
Aniani Vesontini	409	5/September	NA	NA	NA	NA	episcopi,episcoporum	
Aniani Alexandrini (	410	25/April	NA	NA	NA	NA	episcopi,episcoporum	
Aniceti	411	17/April	NA	NA	NA	NA	pape$martiris,martirum	
Aniceti et Fotini	412	2/September	NA	NA	NA	NA	martiris,martirum	
Babile  cum tribus. pueris (Urbani, Prilidiani, Epolonii)	413	24/Januar	NA	NA	NA	NA	martiris,martirum$episcopi,episcoporum$sociorum,sociis	
Baboleni Mauri Fossatea	414	26/Juni	NA	NA	NA	NA	abbatis$sancti,sancte	
Baculi Surrentini	415	29/Januar	NA	NA	NA	NA	episcopi,episcoporum	
Badilonis Lutose in Hannonia	416	8/October	NA	NA	NA	NA	abbatis	
Badulfi Althanacen	417	19/August	NA	NA	NA	NA	abbatis	
Baye et Maure non	418	3/November	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Baini Tarvanen	419	20/Juni	NA	NA	NA	NA	episcopi,episcoporum	
Baithenei Jonen	420	9/Juni	NA	NA	NA	NA	abbatis	
Balbine (filie Quirini)	421	31/März	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Baldegundis	422	10/Februar	14/Februar	NA	NA	Waldegundis	abbatis	
Baldi penit	423	29/October	NA	NA	NA	NA	NA	
Baldi Jotren	424	9/December	NA	NA	NA	NA	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Baldomerii	425	27/Februar	NA	NA	NA	NA	confessoris	
Baldredi	426	6/März	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Balduini Laudunen	427	8/Januar	NA	NA	NA	NA	archidiaconi$martiris,martirum$beati,beate	
Balduini Reaten. ord. Cisterc	428	21/August	11/August	1140	[Rieti] A. S. (D.:  August 11 ) .	NA	abbatis$beati,beate	
Balduini Edmundi	429	31/December	NA	NA	NA	NA	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte	
Balsamie	430	14/November	NA	NA	NA	NA	vidue	
Balsemii	431	16/August	NA	NA	NA	NA	martiris,martirum	
Balthasaris regis (regis tertii obitus)	432	11/Januar	NA	NA	NA	NA	NA	
Baltheri et Bilfridi anachor	433	6/März	NA	NA	NA	NA	NA	
Baltramni Lutren	434	18/Januar	NA	NA	NA	NA	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Bandaridi (Banderici) Suessionen	435	1/August	NA	NA	NA	NA	episcopi,episcoporum	
Banti (Bantonis) Treveren	436	31/Juli	NA	NA	NA	NA	confessoris	
Baptiste de Varanis T. ord. Clare	437	31/Mai	2/Juni	1527	[Camerino] A. S. (D.:  Juni 2 ) .	NA	sancti,sancte$beati,beate	
Barachii translatio (1653)	438	21/September	NA	NA	NA	NA	martiris,martirum	
Baractalis	439	9/October	NA	NA	NA	NA	martiris,martirum	
Barbare	440	4/December	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Barbare Apriliote ord. Carmel. discalceat	441	18/April	NA	1618	[Rouen, Pontoise] D.	NA	beati,beate	
Barbari	442	14/Mai	NA	NA	NA	NA	martiris,martirum	
Barbarii	443	25/November	NA	NA	NA	NA	abbatis	
Barbati ep Beneventani	444	19/Februar	NA	NA	NA	NA	NA	
Barbatiani	445	31/December	NA	NA	NA	NA	presbyteri$confessoris	
Bardonis Moguntini	446	10/Juni	NA	1051	[Mainz] A. S.	NA	episcopi,episcoporum	
Barduccii et Johannis de Vespiniano laicis	447	4/Juli	NA	1331		NA	confessoris$beati,beate	
Barnabe (Bernabei)	448	11/Juni	14/Februar	NA	NA	Bernabei	martiris,martirum$apostoli	
Barniti	449	5/Januar	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Baronti et Desiderii	450	25/März	14/Februar	NA	NA	Desiderii	confessoris$eremite	
Barti Vasionen	451	6/October	NA	NA	NA	NA	episcopi,episcoporum	
Bartholi ord. servorum Marie	452	14/Juni	NA	ca. 1300	[S. Angelo in Vado] A. S.$Memoria, Montag nach Ostern D.	NA	beati,beate	
Bartoli	453	13/December	NA	1300	[Florenz, San Geminiano] D.	NA	solitarii$beati,beate	
Bartholomee (Elisabeth) tertii ord. servorum Marie	454	19/Mai	14/Februar	1348	[Siena] A. S.	Elisabeth	virginis,virginum_or_(vor_Namen)_venerabilis$beati,beate	
Bartholomei	455	24/August	NA	NA	NA	NA	apostoli	
Bartholomei ab Anglario	456	18/März	NA	1528	ord. s. Francisci [Empoli, Tosc. ] A. S.	NA	confessoris$beati,beate	
Bartholomei Amidei ord. servor. Marie	457	18/April	NA	NA	NA	NA	confessoris$beati,beate	
Bartholomei de Cerveriis ord. predic	458	21/April	NA	1466	[Fossano, Savigliano] A. S.	NA	confessoris$beati,beate	
Bartholomei Farnen	459	24/Juni	2/Juni	1193	[England] A. S. (D. auch  Juni 2 ) .	NA	eremite	
Bartholomei Vicentini ord. predic	460	1/Juli	NA	1271	[Vicenza] A. S.	NA	episcopi,episcoporum$beati,beate	
Bartholomei de Martyribus Bracaren. ord. Dominici	461	16/Juli	NA	1590	[Braga] D.	NA	episcopi,episcoporum$sancti,sancte$beati,beate	
Bartholomei Salvatoris ord. Basilii	462	19/August	NA	NA	NA	NA	abbatis$sancti,sancte	
Bartholomei a Foresto ord. serv. Marie	463	23/August	NA	1489	[Serviten] A. S.	NA	confessoris$beati,beate	
Bartholomei junioris Crypte Ferrate ord. Basilii	464	11/November	NA	1065	[Tivoli, Grotta Ferrata] D.	NA	abbatis$sancti,sancte	
Basiliani	465	11/Februar	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Basilice	466	18/November	NA	NA	NA	NA	virginis,virginum_or_(vor_Namen)_venerabilis	
Basilidis, Cyrini, Naboris (et Nazarii)	467	12/Juni	NA	NA	NA	NA	martiris,martirum	
Basilidis	468	20/Mai	NA	NA	NA	NA	confessoris	
Basilii (magni) (eigentlich ordinatio)	469	14/Juni	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Basilii Ratensis insule	470	12/Februar	NA	NA	NA	NA	monachi	
Basilii Bononien	471	6/März	NA	NA	NA	NA	episcopi,episcoporum	
Basilii Lunen	472	29/October	NA	NA	NA	NA	episcopi,episcoporum	
Basilisse et Anastasie matronarum m	473	15/April	14/Februar	NA	NA	Anastasie	NA	
Basilisse	474	5/December	NA	NA	NA	NA	abbatis	
Basille	475	20/Mai	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Basini Treveren	476	4/März	NA	NA	NA	NA	episcopi,episcoporum	
Basini m	477	14/Juli	NA	NA	NA	NA	NA	
Basoli	478	15/October	NA	NA	NA	NA	presbyteri$confessoris	
Basonis	479	7/Mai	NA	NA	NA	NA	confessoris	
Bassi Nicen	480	5/December	NA	NA	NA	NA	episcopi,episcoporum	
Bassiani Lauden	481	19/Januar	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Bassiani	482	16/October	NA	NA	NA	NA	martiris,martirum	
Batildis (Balthildis, Baldechildis) regine non	483	30/Januar	14/Februar	NA	NA	Balthildis$Baldechildis	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Bathonis (Wattonis translatio)	484	31/Juli	14/Februar	NA	NA	Wattonis	confessoris	
Baudelii (Baudulii)	485	20/Mai	NA	NA	NA	NA	martiris,martirum	
Baudimii	486	2/Januar	NA	NA	NA	NA	confessoris	
Baudini Turonen	487	7/November	NA	NA	NA	NA	episcopi,episcoporum	
Baudolini	488	10/November	NA	NA	NA	NA	confessoris	
Baumadi	489	4/August	14/Februar	NA	NA	Boamadi	solitarii$confessoris	
Baumiri (Baomiri, Boamiri)	490	3/November	14/Februar	NA	NA	Boamiri	abbatis$confessoris	
Bavonis	491	1/October	NA	NA	NA	NA	confessoris	
Beani (Murtlacen.)	492	26/October	NA	ca. 1032	Aberdon.	NA	episcopi,episcoporum$confessoris	
Beati	493	9/Mai	NA	NA	NA	NA	confessoris	
Beati Treveren. (Confluent.)	494	26/Juli	NA	NA	NA	NA	confessoris	
Beati ord. Ben	495	19/Februar	NA	NA	NA	NA	presbyteri$sancti,sancte	
Beatricis	496	29/Januar	NA	NA	NA	NA	martiris,martirum	
Beatricis Atestine sanctimon. ord. Ben	497	10/Mai	18/Januar	1226	(Padua) A.S.$Januar 18 :  (Ferrara) A.S.	NA	sancti,sancte$beati,beate	
Bede (doctoris)	498	26/Mai	NA	NA	NA	NA	presbyteri$confessoris	
Bede junioris	499	10/April	NA	NA	NA	NA	monachi	
Bege non	500	31/October	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Begge	501	17/December	NA	NA	NA	NA	vidue	
Belli	502	23/Januar	NA	NA	NA	NA	martiris,martirum$sociorum,sociis	
Belline	503	8/September	NA	NA	NA	NA	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Bellini Patavini	504	26/November	NA	1147	(Padua) D., G.	NA	martiris,martirum$episcopi,episcoporum	
Bellum Anglorum	505	14/October	NA	NA	NA	NA	NA	
Bellum de Bennomarin (Benamaurel bei Baza)	506	30/October	NA	NA	NA	NA	NA	
Benedicte	507	8/October	14/Februar	NA	NA	Beate	martiris,martirum$virginis,virginum_or_(vor_Namen)_venerabilis	
Benedicte Assisien. ord. Clare	508	16/März	14/Februar	1260	[Assisi] A.S.	Beate	abbatis$sancti,sancte$beati,beate	
Benedicte sanctimon	509	6/Mai	14/Februar	NA	NA	Beate	virginis,virginum_or_(vor_Namen)_venerabilis	
Benedicte (Beate)	510	29/Juni	14/Februar	NA	NA	Beate	virginis,virginum_or_(vor_Namen)_venerabilis	
Benedicte et Cecilie Susteren	511	17/August	14/Februar	NA	NA	Cecilie$Beate	abbatis$virginis,virginum_or_(vor_Namen)_venerabilis	
Benedicti (de Nursia) (Casinensis) (transitus)	512	21/März	NA	NA	NA	NA	abbatis$confessoris	
Benedicti Biscopi Wiremuten	513	12/Januar	NA	NA	NA	NA	abbatis	
Benedicti Mediolanen	514	11/März	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Benedicti et Johannis mon	515	10/November	14/Februar	NA	NA	Johannis et Benedicti	NA	
Benedicti	516	20/Januar	NA	NA	NA	NA	eremite	
Benedicti Anianen. et Inden	517	11/Februar	NA	NA	NA	NA	abbatis	
Benedicti Albingaunen	518	12/Februar	NA	NA	NA	NA	episcopi,episcoporum	
Benedicti (2)	519	17/Februar	NA	ca. 1100	[Sardinien] A.S.	NA	episcopi,episcoporum	
Benedicti (saec. XIII.)	520	21/März	NA	NA	NA	NA	presbyteri	
Benedicti Nigri ord. fr. min	521	3/April	NA	NA	NA	NA	NA	
Benedicti fundatoris pontis Avinionen	522	14/April	NA	1184	[Avignon, Patron] A.S.	NA	NA	
Benedicti Aesernien	523	4/Mai	NA	NA	NA	NA	episcopi,episcoporum	
Benedicti (II)	524	7/Mai	NA	NA	NA	NA	pape$confessoris	
Benedicti medici	525	2/Juni	NA	NA	NA	NA	martiris,martirum	
Benedicti XI. ord. predic	526	7/Juli	NA	1304	[Perugia] D. |71|	NA	pape$confessoris$beati,beate	
Benedicti Andegaven	527	15/Juli	NA	NA	NA	NA	episcopi,episcoporum	
Benedicti Aretini ord. fr. minor	528	31/August	NA	ca. 1280	[Arezzo] A.S.	NA	confessoris$beati,beate	
Benedicti Maceracen	529	1/October	NA	NA	NA	NA	abbatis	
Benedicti Pictavien	530	23/October	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Benedicti Comen	531	30/October	NA	NA	NA	NA	episcopi,episcoporum$confessoris	
Benefactorum Commemoratio	532	3/März	NA	NA	NA	NA	NA	
Benevenute de Bojanis tertii ord. Domin	533	29/October	NA	1292	[Friaul] A.S.	NA	virginis,virginum_or_(vor_Namen)_venerabilis$sancti,sancte$beati,beate	
Benevenuti Auximi ord. minor	534	22/März	NA	1276	[Osimo] A.S.	NA	episcopi,episcoporum$confessoris	
Benevenuti Recanaten. ord. minor	535	27/Juni	5/Mai	ca. 1232	[Corneto, Apulien) A.S.$Obitus  Mai 5 :  [Corneto] D.	NA	confessoris$beati,beate	
